Keyword	Searchvolume	CPC	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
bullet journal mood tracker	4400	$1.57 	12100	4400	3600	3600	3600	4400	3600	3600	2400	2400	2900	8100
mood tracker bullet journal	4400	$1.57 	12100	4400	3600	3600	3600	4400	3600	3600	2400	2400	2900	8100
best mood tracker app	720	$2.67 	880	880	720	720	590	590	590	590	590	590	590	590
daily mood tracker	480	$0.30 	880	390	480	390	390	390	390	480	480	480	390	480
mood tracker journal	480	$2.27 	720	480	390	320	320	320	390	390	260	480	390	590
journal mood tracker	90	$1.28 	170	70	50	40	70	70	90	110	70	90	90	70
best mood tracker app free	50	$3.43 	50	30	50	30	20	30	70	50	70	50	40	70
Keyword	Searchvolume	CPC	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
mood tracker app for bipolar disorder	70	41.34	70	70	70	110	90	90	90	70	70	90	50	50
mood tracker depression	70	24.09	90	70	50	70	50	70	50	50	50	50	30	90
mood tracker for depression	70	24.09	90	70	50	70	50	70	50	50	50	50	30	90
online mood tracker	50	18.01	90	50	70	70	40	70	40	20	40	50	50	50
free mood tracker app	260	11.97	390	320	260	210	260	170	260	260	260	320	260	320
mood tracker app	1900	9.75	2400	1900	1900	1600	1600	1600	1600	1600	1600	2400	3600	1600
app mood tracker	1900	9.75	2400	1900	1900	1600	1600	1600	1600	1600	1600	2400	3600	1600
best mood tracker app free	70	9.28	70	50	70	70	50	50	70	90	70	70	90	40
pmdd mood tracker	50	8.95	40	50	70	50	70	30	50	40	40	50	50	50
best mood tracker app	390	8.39	720	480	390	390	390	320	320	320	320	320	260	480
mood tracker app free	170	7.9	210	140	170	140	140	110	140	140	110	170	210	170
period mood tracker	70	6.32	70	50	90	40	70	30	50	50	70	90	70	50
mood tracker free	170	6.31	260	170	170	210	140	140	110	170	170	170	170	140
best mood tracker apps	390	4.2	720	480	390	390	390	320	320	320	320	320	480	480
mood tracker apps	1900	3.41	2400	1900	1900	1600	1600	1600	1600	1600	1600	2400	1600	1600
mood tracker apps free	140	3.37	210	140	170	140	140	110	140	140	110	210	170	170
daily mood tracker pdf	110	3.33	170	140	90	140	70	70	90	90	70	90	140	90
best free mood tracker app	110	2.88	210	110	140	110	90	90	90	90	70	90	90	140
mood tracker online	50	2.71	90	50	70	70	40	70	40	20	40	50	50	50
bipolar mood tracker app	70	2.21	70	70	70	110	90	90	90	70	70	90	90	50
mood chart for adults pdf	170	1.77	320	170	140	170	140	170	170	170	170	140	140	170
apple watch mood tracker	50	1.56	70	90	30	50	30	30	40	30	50	40	40	90
free mood tracker apps	260	1.36	390	320	260	210	260	170	260	260	260	480	260	320
bipolar mood tracker	390	1.13	480	480	390	390	390	390	480	390	390	480	390	390
bipolar disorder mood tracker	390	1.13	480	480	390	390	390	390	480	390	390	480	390	390
mood tracker bipolar	390	1.13	480	480	390	390	390	390	480	390	390	480	390	390
mood tracker for bipolar	390	1.13	480	480	390	390	390	390	480	390	390	480	390	390
mood chart for bipolar pdf	90	1.02	90	50	70	70	110	70	70	70	90	90	110	70
emoods bipolar mood tracker	110	0.98	90	50	110	70	110	70	90	70	90	480	90	50
daily mood tracker journal	90	0.84	90	40	70	40	30	50	320	140	30	50	50	50
mood tracker	6600	0.71	12100	6600	5400	5400	5400	4400	4400	5400	4400	5400	5400	8100
tracker mood	6600	0.71	12100	6600	5400	5400	5400	4400	4400	5400	4400	5400	5400	8100
free mood tracker	260	0.68	260	170	170	210	140	140	110	170	170	1300	140	140
hourly mood tracker	50	0.57	70	70	50	50	30	50	40	50	40	90	50	50
mood tracker stickers	70	0.54	170	70	50	50	70	70	90	90	50	70	70	140
printable mood tracker	260	0.48	590	320	260	210	210	210	170	210	170	260	210	320
mood tracker journal	1000	0.46	1900	720	720	590	590	590	590	880	3600	1000	880	1000
mood tracker journals	1000	0.46	1900	720	720	590	590	590	590	880	3600	1000	880	1000
journal mood tracker	1000	0.46	1900	720	720	590	590	590	590	880	3600	1000	880	1000
journaling mood tracker	1000	0.46	1900	720	720	590	590	590	590	880	3600	1000	880	1000
mood tracker calendar	70	0.42	140	50	70	70	50	20	40	40	50	70	70	110
daily mood tracker	480	0.39	1000	480	480	390	390	320	390	480	390	590	480	590
day mood tracker	480	0.39	1000	480	480	390	390	320	390	480	390	590	480	590
weekly mood tracker	90	0.39	170	90	90	90	70	70	70	70	70	90	140	90
weekly mood tracker pdf	50	0.38	40	40	40	50	50	40	50	70	50	70	90	20
bullet journaling mood tracker	590	0.34	1900	720	590	390	390	320	390	320	320	390	390	1300
monthly mood tracker bullet journal	50	0.32	170	40	40	40	40	30	40	50	40	30	30	110
mood tracker ideas	320	0.32	1600	260	210	170	110	140	170	140	170	170	170	590
mood tracker print	720	0.31	1000	720	590	590	590	480	590	480	480	720	720	880
mood tracker printables	720	0.31	1000	720	590	590	590	480	590	480	480	720	720	880
mood tracker printable	720	0.3	1000	720	590	590	590	480	590	480	480	720	720	880
bullet journal mood tracker ideas	110	0.29	590	110	70	90	40	50	70	50	70	70	90	260
best mood tracker	70	0.27	110	50	90	90	70	70	70	50	50	70	40	90
mood tracker template	590	0.23	1300	590	590	480	390	390	390	390	390	480	390	720
bullet journal mood tracker	590	0.23	1900	720	590	390	390	320	390	320	320	390	590	1300
mood tracker templates	590	0.23	1300	590	590	480	390	390	390	390	390	480	390	720
mood tracker worksheet	140	0.23	170	170	140	170	170	110	110	140	110	140	110	110
mood tracker color	110	0.23	390	90	70	90	50	50	70	70	70	70	50	210
free printable mood tracker	110	0.23	170	110	70	140	90	70	70	90	90	110	140	110
daily mood tracker printable	70	0.23	110	70	50	70	70	70	50	50	70	50	70	40
depression mood tracker	70	0.23	90	70	50	70	50	70	50	50	50	70	90	90
mood tracker bullet journal printable	50	0.22	110	70	50	30	30	40	20	40	40	50	40	90
bujo mood tracker	90	0.22	320	90	50	30	50	40	50	50	50	70	70	170
bullet journal mood tracker printable	50	0.22	110	70	50	30	30	40	20	40	40	50	40	90
mood tracker printable bullet journal	50	0.22	110	70	50	30	30	40	20	40	40	50	40	90
mood tracker key	70	0.21	260	70	40	20	40	40	30	40	40	50	50	140
mood tracker bullet journal	1000	0.2	2900	1000	720	880	720	720	880	720	720	880	1000	2400
mood tracker pdf	480	0.18	590	590	390	480	480	390	390	390	390	480	480	590
yearly mood tracker	110	0.18	480	70	30	40	30	30	40	50	30	70	50	320
mood tracker spreadsheet	110	0.18	140	110	90	90	90	70	90	90	90	110	90	110
mood tracker sheets	110	0.18	140	110	90	90	90	70	90	90	90	110	90	110
year mood tracker	110	0.18	480	70	30	40	30	30	40	50	30	70	50	320
monthly mood tracker ideas	70	0.18	260	70	90	70	70	50	50	50	20	30	50	110
bullet journal ideas mood tracker	90	0.16	210	50	30	20	30	40	50	90	110	110	90	140
mood tracker example	70	0.16	210	70	70	50	70	50	50	50	50	70	70	90
mood tracker coloring page	50	0.16	110	40	50	30	50	30	40	40	40	50	50	70
mood tracker chart	110	0.15	170	90	110	110	90	90	90	70	90	110	260	140
moods for mood tracker	110	0.14	480	110	90	70	50	70	70	90	50	70	50	170
mood tracker sheet	110	0.14	140	110	90	90	90	70	90	90	90	110	90	110
mental health mood tracker printable	170	0.13	320	210	170	140	140	140	90	90	110	170	140	260
mood tracker coloring pages	50	0.13	110	40	50	30	50	30	40	40	40	50	50	70
mood tracker bullet journal ideas	110	0.12	320	140	110	70	70	70	50	50	50	70	90	170
mood tracker examples	70	0.12	210	70	70	50	70	50	50	50	50	70	70	90
monthly mood tracker	170	0.11	480	170	140	110	170	110	140	140	170	170	140	260
mood tracker colours	110	0.09	390	90	70	90	50	50	70	70	70	70	70	210
mood tracker coloring	110	0.09	390	90	70	90	50	50	70	70	70	70	70	210
mood tracker colors	110	0.09	390	90	70	90	50	50	70	70	70	70	70	210
mood tracker moods	70	0.08	320	70	50	40	30	30	30	50	40	40	50	140
cute mood tracker ideas	170	0.07	590	170	170	140	170	140	110	110	50	90	90	320
mental health mood tracker printable free	70	0.07	110	70	90	50	50	50	50	70	40	50	40	70
bipolar mood tracker pdf	50	0.05	90	40	50	40	70	40	40	50	50	30	40	30
bullet journal mood tracker template	70	0.04	170	70	90	50	50	50	40	40	40	40	40	90
mood tracker bujo	50	0.03	210	50	20	30	40	30	30	30	30	40	30	90
november mood tracker	70	0.02	40	20	10	10	10	10	20	40	40	320	260	30
february bullet journal mood tracker	50	0.02	260	170	10	10	10	10	10	10	10	10	10	30
bipolar mood tracker printable pdf	70	0.01	140	70	70	90	90	70	70	70	50	50	40	70
mood tracker printable pdf free	70	0	110	90	70	70	70	70	70	50	50	50	50	50
mood tracker journal ideas	50	0	110	40	30	20	30	40	40	50	30	50	20	70
january mood tracker	140	0	880	30	10	10	10	10	10	10	20	30	70	590
notion mood tracker	110	0	320	140	70	70	70	70	70	90	70	90	50	170
february mood tracker	110	0	720	390	10	10	10	20	10	10	10	10	50	110
mood tracker notion	90	0	210	70	90	90	50	50	50	50	50	70	90	110
march mood tracker	90	0	170	390	390	20	20	10	10	10	20	20	20	70
therapist aid mood tracker	70	0	70	70	70	90	70	70	50	50	70	70	70	40
apple mood tracker	70	0	110	70	50	50	50	50	50	50	50	50	70	70
october mood tracker	70	0	40	10	10	10	10	10	30	50	260	260	20	30
april mood tracker	70	0	90	40	260	320	10	10	10	10	10	10	20	50
december mood tracker	70	0	30	20	10	10	10	10	10	20	20	40	320	320
t2 mood tracker	50	0	70	50	50	50	50	70	50	70	50	50	40	50
free mood tracker printable	50	0	140	40	40	30	40	30	50	50	70	50	70	70
july mood tracker	50	0	50	10	10	20	40	170	210	10	10	10	10	30
